0.89222348;	4.39215708
0.89222348;	2.05882359
0.89222348;	2.64705873
0.90166885;	3.66666675
0.90166885;	2.41176462
0.90166885;	1.54901958
0.90972161;	3.21568632
0.90972161;	3.72549009
0.90972161;	1.66666663
0.91883111;	3.23529410
0.91883111;	3.54901958
0.91883111;	1.82352936
0.92780954;	1.35294116
0.92780954;	4.41176462
0.92780954;	2.70588231
0.93692726;	1.98039210
0.93692726;	3.60784316
0.93692726;	3.05882359
0.94587290;	1.56862748
0.94587290;	1.56862748
0.94587290;	4.29411745
0.95497423;	1.82352936
0.95497423;	2.41176462
0.95497423;	3.50980401
0.96396083;	2.27450991
0.96396083;	1.41176474
0.96396083;	2.88235283
0.97295564;	3.66666675
0.97295564;	1.47058821
0.97295564;	2.98039222
0.98200780;	3.19607854
0.98200780;	1.64705884
0.98200780;	1.15686274
0.99106818;	4.09803915
0.99106818;	2.47058821
0.99106818;	1.72549021
1.00017762;	3.21568632
1.00017762;	2.64705873
1.00017762;	1.35294116
1.00891030;	1.31372547
1.00891030;	4.19607830
1.00891030;	1.78431368
1.01783144;	2.27450991
1.01783144;	3.23529410
1.01783144;	1.92156863
1.02707195;	0.76470590
1.02707195;	2.27450991
1.02707195;	2.98039222
1.03599310;	0.92156863
1.03599310;	2.49019599
1.03599310;	2.78431368
1.04535651;	1.25490201
1.04535651;	0.98039216
1.04535651;	3.78431368
1.05430222;	2.25490189
1.05430222;	1.66666663
1.05430222;	3.47058821
1.06332159;	2.86274505
1.06332159;	1.58823526
1.06332159;	1.58823526
1.07212806;	4.43137264
1.07212806;	1.88235295
1.07212806;	2.47058821
1.08081973;	3.45098042
1.08081973;	2.13725495
1.08081973;	1.03921568
1.08977354;	2.39215684
1.08977354;	3.29411769
1.08977354;	1.11764705
1.09885848;	2.78431368
1.09885848;	3.11764717
1.09885848;	1.72549021
1.10814822;	1.29411769
1.10814822;	4.19607830
1.10814822;	2.58823538
1.11697924;	1.58823526
1.11697924;	3.19607854
1.11697924;	2.56862736
1.12637544;	0.92156863
1.12637544;	0.76470590
1.12637544;	3.68627453
1.13489509;	1.41176474
1.13489509;	2.09803915
1.13489509;	3.29411769
1.14417660;	2.43137264
1.14417660;	1.45098042
1.14417660;	3.11764717
1.15300763;	3.88235283
1.15300763;	1.66666663
1.15300763;	3.27450991
1.16185498;	3.43137264
1.16185498;	1.80392158
1.16185498;	1.45098042
1.17091537;	3.94117641
1.17091537;	2.60784316
1.17091537;	1.96078432
1.18021321;	3.45098042
1.18021321;	2.96078420
1.18021321;	1.52941179
1.18888855;	1.27450979
1.18888855;	4.25490189
1.18888855;	1.49019611
1.19794071;	1.94117641
1.19794071;	3.25490189
1.19794071;	2.01960778
1.20690274;	1.43137252
1.20690274;	2.62745094
1.20690274;	4.33333349
1.21602046;	1.98039210
1.21602046;	3.19607854
1.21602046;	3.56862736
1.22476137;	1.76470590
1.22476137;	1.05882359
1.22476137;	3.72549009
1.23434603;	1.86274505
1.23434603;	1.68627453
1.23434603;	3.31372547
1.24284112;	2.43137264
1.24284112;	1.37254906
1.24284112;	2.01960778
1.25177038;	4.05882359
1.25177038;	1.09803927
1.25177038;	2.13725495
1.26081431;	3.15686274
1.26081431;	1.76470590
1.26081431;	0.37254903
1.27010405;	2.27450991
1.27010405;	3.37254906
1.27010405;	0.45098040
1.27900052;	2.29411769
1.27900052;	2.47058821
1.27900052;	0.54901963
1.28782332;	0.35294119
1.28782332;	3.29411769
1.28782332;	2.19607854
1.29737520;	1.58823526
1.29737520;	3.80392146
1.29737520;	2.47058821
1.30609965;	1.70588231
1.30609965;	1.31372547
1.30609965;	4.17647076
1.31542218;	1.88235295
1.31542218;	1.96078432
1.31542218;	3.17647052
1.32428598;	2.33333325
1.32428598;	1.47058821
1.32428598;	2.78431368
1.33295310;	4.49019623
1.33295310;	2.37254906
1.33295310;	4.11764717
1.34213626;	4.72549009
1.34213626;	3.23529410
1.34213626;	2.56862736
1.35104108;	4.98039198
1.35104108;	3.82352948
1.35104108;	2.35294127
1.36006856;	4.39215708
1.36006856;	3.86274505
1.36006856;	2.23529410
1.36897326;	2.09803915
1.36897326;	4.98039198
