0.96564841;	3.07843137
0.96564841;	1.98039210
0.96564841;	2.50980401
0.97470057;	3.21568632
0.97470057;	1.58823526
0.97470057;	1.80392158
0.98355609;	4.17647076
0.98355609;	2.62745094
0.98355609;	2.13725495
0.99293596;	3.50980401
0.99293596;	2.52941179
0.99293596;	1.43137252
1.00167680;	2.19607854
1.00167680;	3.37254906
1.00167680;	1.62745094
1.01060605;	1.58823526
1.01060605;	2.84313726
1.01060605;	1.05882359
1.01958454;	0.80392158
1.01958454;	2.86274505
1.01958454;	2.41176462
1.02864492;	1.45098042
1.02864492;	2.00000000
1.02864492;	2.60784316
1.03775442;	0.98039216
1.03775442;	1.25490201
1.03775442;	3.47058821
1.04690480;	1.92156863
1.04690480;	1.52941179
1.04690480;	2.96078420
1.05594885;	2.15686274
1.05594885;	1.19607842
1.05594885;	2.15686274
1.06471419;	3.64705873
1.06471419;	2.19607854
1.06471419;	2.23529410
1.07368445;	3.76470590
1.07368445;	2.09803915
1.07368445;	1.72549021
1.08252370;	3.70588231
1.08252370;	3.25490189
1.08252370;	1.96078432
1.09182155;	2.39215684
1.09182155;	2.98039222
1.09182155;	1.17647064
1.10066891;	1.43137252
1.10066891;	3.86274505
1.10066891;	2.21568632
1.10972106;	1.84313726
1.10972106;	3.33333325
1.10972106;	2.52941179
1.11859298;	1.41176474
1.11859298;	2.31372547
1.11859298;	3.86274505
1.12797284;	2.29411769
1.12797284;	2.23529410
1.12797284;	3.78431368
1.13750017;	1.86274505
1.13750017;	1.43137252
1.13750017;	3.45098042
1.14610994;	3.05882359
1.14610994;	1.80392158
1.14610994;	2.33333325
1.15453947;	3.17647052
1.15453947;	1.62745094
1.15453947;	1.80392158
1.16382921;	4.23529434
1.16382921;	2.78431368
1.16382921;	2.25490189
1.17290604;	3.82352948
1.17290604;	2.94117641
1.17290604;	1.68627453
1.18156493;	2.54901958
1.18156493;	3.98039222
1.18156493;	2.09803915
1.19060886;	1.86274505
1.19060886;	3.25490189
1.19060886;	1.29411769
